食費,・4人家族ですが食費はいくらくらいが平均か,"・1か月の酒・外食除きの食費平均は2.96人で59,469円(2020.2)",■総務省　家計調査報告（2020年2月分）
,,"・4人家族では80,363円だが、子どもの年齢に左右されるためエンゲル係数",https://www.stat.go.jp/data/kakei/sokuhou/tsuki/pdf/fies_mr.pdf
,,"　25％(平均)を1つの目安にする",
,,"・エンゲル係数（％）＝食費÷消費支出合計×100",
貯蓄,・年間100万円貯めるには,"・毎月6.7万円or毎月5万円＋ボーナス20万円×2回",
貯蓄,・貯金についての考え方,"・①貯蓄の目的明確化②家計の無駄を洗い出す③先取りで貯まる仕組み",
,,"　作り④iDeCoやつみたてNISA、ふるさと納税など活用⑤副業などで",
,,"　収入を増やす",
貯蓄,・年代、性別 平均貯蓄額ってどれくらい,"・独身世帯：20代①平均値106万円②中央値5万円　30代①359万円",■知るぽると
,,"　②77万円　40代①564万円②50万円",https://www.shiruporuto.jp/public/data/movie/yoron/
,,"・結婚世帯：20代①165万円②71万円 　30代①529万円②240万円 ",
,,"　40代 ①694万円②365万円",
節約,・通信費の削減方法は,"・月に1人5千円以内に抑えるため格安SIMへ変更",
節約,・みんなどうやって節約してるのか,"・住居費（金利見直し）や保険料、通信費などまずは固定費の見直しを優先",
,,"・変動費は食費や日用品など、コンビニ利用を控える、自炊などで工夫",
節約,キャッシュレスはどれがお得か,"＜クレジットカード＞",■ダイヤモンドZAi
,,"・還元率、年会費、付帯サービスなど比較。よく使う店やサービスで選ぶ、",https://diamond.jp/articles/-/189805
,,"　電子マネーとの組合せで選ぶ方法も。（楽天利用→楽天カード ",■クレジットカード完全比較
,,"　Suica＋ビックカメラSuicaカード　など）",https://www.kanzen-creditcard.com/
,,"＜電子マネー＞",■おすすめ電子マネー
,,"・楽天pay、iD、Suicaなど　加盟店の多さや普段使うクレジットカード",https://www.money-book.jp/category/e-money/osusume_emoney
,,"　との組み合わせなどで選ぶ",
,,"＜QRコード決済＞",■ダイヤモンドZAi
,,"・電子マネー同様普段使いのクレジットカードとの組合せなどから選ぶ",https://diamond.jp/category/cashless-payment
節約,・旅行に毎年行きたいけど、どう工夫したらいいか,"・旅費を通常の貯蓄とは別に貯める",■旅行用貯金術
,,"・マイルを貯めて旅費にあてる　旅行積立を活用する",https://tabicoffret.com/article/77008/index.html
節約,・タダ活  ポイ活  フリマアプリの活用は,"・タダ活：ローソンアプリなどコンビニアプリでは商品の無料引換券が",
,,"　手に入る",
,,"・ポイ活：楽天スーパーポイント、dポイント、Tポイント、Pontaポイント",■東洋経済オンライン
,,"・フリマアプリ：メルカリやラクマなど　不用品をお金に換えるサービス",https://toyokeizai.net/articles/-/332724
節約,・独身家計のポイントは,"・病気や怪我で働けなくなった時のリスクに備える（保険、貯蓄）",
,,"・老後資金の準備を計画的に行う（iDeCoなどの活用）",
家計の内訳,・年収別のお金の配分目安は？,"・支出項目別比率　食費25.7%住居5.8％光熱・水道7.6%家具・家事用品",■保険チャンネル
,,"　3.7%　等（総務省家計調査）　比率を消費支出に当てはめて考える",https://hokench.com/article/household/326/
税金,・税金を減らすための方法は,"・住宅ローン控除、医療費控除、生命保険料控除、ふるさと納税、iDeCo",■税理士検索フリー
,,"　など、所得控除できるものを活用する",https://advisors-freee.jp/article/category/cat-big-05/cat-small-13/386/
収入増加,・扶養に入っているけど働いていいか,"・パート等の収入103万円以下なら所得税はかからず、配偶者は配偶者控除",■国税庁
,,"　を受けることができる。100万円以下なら住民税もかからない。",https://www.nta.go.jp/publication/pamph/koho/kurashi/html/02_2.htm
,,"・103万円を超えると201万円以下であれば配偶者特別控除の対象。",
収入増加,・いくらまでの収入なら扶養に入れるか。,"・社会保険上の扶養は130万円を超えると外れる。",■エン派遣
,,"",https://haken.en-japan.com/contents/column/spouse-deduction/
収入増加,・収入を増やすためには,"・転職、独立・起業、副業、投資",
収入増加,・副業や在宅ワークの情報を得る方法,"・厚生労働省「在宅ワーカーのためのハンドブック」",■厚生労働省「在宅ワーカーのためのハンドブック」
,,"・クラウドソーシングや仲介業者への登録により情報収集",https://www.mhlw.go.jp/bunya/koyoukintou/zaitaku/dl/100728-2.pdf
収入増加,・子どもが小さくてもできる仕事は,"・保育園に預けられない、親の援助が受けられない場合",
,,"　幼稚園に預けてパート、在宅ワーク",
習い事,・平均で子どもにどれくらいお金をかけているか（習い事など）,"・月額平均　幼児6,500円　小学生15,300円　中学生22,200円",■ベネッセ教育総合研究所
,,"・目安は所得の5%程度　習い事費を適正に抑え本来の教育費も貯めていく",https://berd.benesse.jp/up_images/research/2017_Gakko_gai_tyosa_web.pdf
家計管理,・家計管理は夫か妻かどちらがいいか。メリット、デメリットは,"①妻が家計管理、夫は小遣い制　メリット：管理が楽 　デメリット：家計",■AllAbout
,,"　状況が不透明、家計費使い過ぎに注意",https://allabout.co.jp/gm/gc/417347/
,,"②夫が管理、妻は生活費制　メリット：生活費が一定額内におさまる",
,,"　デメリット：収入や貯蓄状況が不透明",
,,"③夫婦で費目ごとに支出を分担　メリット：自由に使えるお金が多い　",
,,"　デメリット：支出が高額になる、互いの貯蓄額が不明",
,,"④夫婦共用口座で管理　メリット：家計の支出全体がわかる",
,,"　デメリット：互いの貯蓄額が不明、小遣い使いすぎる",
家計管理,・お勧めの家計簿アプリは,"・レシート読み取り機能、銀行口座やクレジットカードなどとの連携",
,,"　予算管理機能など　マネーフォワードME　LINE家計簿　家計簿Zaim",
家計管理,・予定外の出費が多く予算を立てられない,"・まずは家計状況を把握。特別費としての予算を作り、余った月の分は積立",
,,"　ておき備える。",
家計管理,・口座は目的によって分けたほうがいいか,"・生活費口座（短期資金）、教育費や旅費（中期資金）、老後等のための",■住信SBIネット銀行
,,"　貯蓄（長期資金）の3つ程度に分ける　目的別口座の取扱いがある銀行も",https://www.netbk.co.jp/contents/lineup/purpose/
家計管理,・夫婦で貯める場合は共通口座か別々の口座か,"・共通口座は住宅購入時など贈与とみなされる可能性あり、それぞれの",■ダイヤモンドオンライン
,,"　名義で貯蓄すべき。共働き世帯は特に、お互いの収入額、預貯金額、",https://diamond.jp/articles/-/83321
,,"　毎月の積立額を把握し合うことが大切",
医療保険,・加入を勧められているが本当に必要か,"・預貯金が多く医療費が賄えるようなら高額療養費制度もあるため未加入",
,,"　でも対応可能。預貯金が少ない場合は高額療養費制度適用外の入院時差額",
,,"　ベッド代や食事代等の負担を加味し入院給付金1日5,000～10,000円で検討",
医療保険,・県民共済が安いと聞くがどうか,"・毎月の掛金は総合保障型で2,000円、年齢・性別に関係なく掛金が一律と",
,,"　いう点はメリット。死亡保障が少なく保険期間が85歳までと一生涯の保障",
,,"　が確保できない点はデメリットとなる。割安な保険料で最低限の保障を",
,,"　付けたい人には向いているかも。",
医療保険,・子どもにも医療保障は必要か,"・子どもは自治体ごとに医療費助成があることや入院割合が低いことから、",
,,"　医療保険ではなく怪我に備える傷害保険等へ加入検討。",
医療保険,・どんな医療保険がお勧めか,"",
,,"",
医療保険,・保険をどう選んだらいいかわからない。ポイントは,"・3つのポイントで比較①主契約（入院給付金日額、入院給付金支払い限度",■保険相談ナビ
,,"日数、手術給付金）②支払い方法（終身払い・短期払い）と保険期間（更",https://www.hokennavi.jp/cont/column-life-iryo-012/
,,"新型の定期タイプ・終身タイプ）③特約（先進医療特約や女性特約等）",
見直し,・見直ししたほうがいい保険の特徴は,"",
,,"",
見直し,・保険に複数加入しているこれでいいのか,"・保障の過不足がないか確認。加入後時間がたっている場合見直しで保険",
,,"　料負担が抑えられる場合も。",
見直し,・保険を解約する以外の方法はあるのか（払済保険）,"・解約返戻金がある場合には①払済保険：保険期間は変わらず保険金額",■生命保険文化センター
,,"　減額②延長保険：保険期間が短くなり保険金額は変わらず",https://www.jili.or.jp/knows_learns/q_a/life_insurance/life_insurance_q12.html
見直し,・見直しはどんな時にしたほうがいいか,"・結婚や出産、子どもが成人などライフステージ・家族構成が変化したとき",■保険相談ナビ
,,"・住宅ローンを組み、団体信用生命保険等加入したとき",https://www.hokennavi.jp/cont/column-knowhow-003/
死亡保険,・保障額はどれくらい必要か,"・平均で男性1,866万円、女性801万円（令和元年）",■生命保険文化センター
,,"・家族構成、現在の収入、資産状況、子どもの年齢から、支出見込額や収入",https://www.jili.or.jp/knows_learns/q_a/life_insurance/life_insurance_q2.html
,,"　見込額、不足額（必要保障額）を算出する　　保障額の具体例",https://www.jili.or.jp/knows_learns/q_a/life_insurance/life_insurance_q2.html
死亡保険,・どんな生命療保険がお勧めか,"",
,,"",
死亡保険,・保険をどう選んだらいいかわからない。ポイントは,"・家族の生活費、子どもの教育費に備えた高めの保険金：定期保険",■生命保険文化センター
,,"・保障が一生涯、貯蓄性も高い：終身保険",https://www.jili.or.jp/knows_learns/q_a/life_insurance/life_insurance_q1.html
,,"・万が一の時も満期時も保険金を受け取れる：養老保険",■保険チャンネル
