0,1573440946-9689,三井住友海上プライマリー生命 令和元年度版,円建終身移行特約付通貨選択利率更改型終身保険／死亡保障充実特約付通貨選択利率更改型終身保険（定期支払特約付）,しあわせ、ずっと２ 令和元年度版,「しあわせ、ずっと２」は、米ドル・豪ドル・ユーロの3種類の通貨から契約通貨を選択し、契約日および更改日（契約日から10年ごとの年単位の契約応当日、81歳以上の場合3年ごとの契約応当日）に適用される積立利率で積立利率適用期間ごとに運用するしくみの通貨選択型の利率更改型終身保険です。・契約時に「積立コース」または「定期支払コース」のいずれか一方のコースを選択します。積立コースは、目標値を105％～200％(1％きざみ)であらかじめ設定することにより、目標達成すると円建終身に自動移行します。・定期支払コースは、契約日後の毎年の契約応当日始に被保険者が生存している場合、契約通貨建ての定期支払金（契約日または更改日の積立利率による1年間の利息相当分）が解約控除なしに支払われます。,保険金・給付金名・支払事由・支払金額・死亡保険金・死亡したとき・積立コース・次のいずれか大きい額・①・被保険者が死亡した日における保障基準価格・②・被保険者が死亡した日における解約払戻金額・定期支払コース・＜死亡保障充実開始日前＞次のいずれか大きい額・①・被保険者が死亡した日における保障基準価格・②・被保険者が死亡した日における解約払戻金額・＜死亡保障充実開始日以後＞次のいずれか大きい額・①・被保険者が死亡した日における保険金額・②・被保険者が死亡した日における解約払戻金額,円入金特約/外貨入金特約/円支払特約/遺族年金支払特約/年金移行特約/介護年金移行特約/指定代理請求特約
1,1573441713-10027,住友生命 令和元年度版,5年ごと利差配当付指定通貨建終身保険（一時払い）,ふるはーとＪロードグローバル／笑顔の約束 令和元年度版,「ふるはーとＪロードグローバル／笑顔の約束」は金融機関窓口販売用の一時払終身保険です。契約当初の死亡保険を抑え、第２保険期間以後の保障を充実させていることに加え、外貨による貯蓄機能も備えています。・死亡保険金を指定通貨で積み立て、指定通貨は米ドルまたは豪ドルから指定できます。・第１保険期間は契約年齢40～49歳の場合に10年、50～90歳の場合に５年となり、第２保険期間は契約年齢40～49歳の場合に5年、50～90歳の場合に10年となります。また、第３保険期間は終身となります。・契約時に適用される予定利率は、金利情勢に応じて毎月1日と16日に設定されます。・職業のみの告知により申し込みできます。,保険金・給付金名・支払事由・支払割合・災害死亡保険金・第１保険期間中に、不慮の事故または所定の感染症で死亡したとき・基本保険金額または解約返戻金相当額のいずれか大きい金額・死亡保険金・第１保険期間中に死亡したとき・一時払保険料相当額、保険料積立金相当額、解約返戻金相当額のうち最も大きい金額・第２保険期間中に死亡したとき・基本保険金額または解約返戻金相当額のいずれか大きい金額・第３保険期間中に死亡したとき・基本保険金額と同額,指定代理請求特約/重度介護前払特約/目標到達時円建終身保険変更特約/保険料指定外通貨払込特約/初期死亡時円換算支払額最低保証特約/保険料円貨払込特約
2,1573441506-9935,第一フロンティア生命 令和元年度版,定期支払金付積立利率変動型終身保険,プレミアレシーブＭ（円建） 令和元年度版,「プレミアレシーブＭ（円建）」は、積立利率保証期間ごとに金利情勢に応じて積立利率を定め、その積立利率を定期的に見直す仕組みの保険料一時払方式の終身保険です。,給付金名・支払事由・支払金額・定期支払金・契約日から1年経過以後の毎年の年単位の契約応当日に被保険者が生存している場合・基本保険金額×定期支払率（※）・※契約日または積立利率保証期間更新日の積立利率および性・年齢に応じて定める・死亡保険金・被保険者が死亡した場合・被保険者が死亡した時における・つぎのいずれか大きい金額・解約返還金額・基本保険金額＋定期支払金額×経過月数（※） / 12・※死亡直前の契約日または年単位の契約応当日からの経過月数,死亡給付金等の年金払特約/年金支払移行特約
3,1573441844-10086,アフラック生命 令和元年度版,終身保険（無選択型）,アフラックの終身保険どなたでも 令和元年度版,"「アフラックの終身保険どなたでも」は、40歳から80歳までであれば診査や告知をすることなく加入できる終身保険です。・契約後2年以内に死亡したときは、既払込保険料相当額が支払われます。・災害死亡（不慮の事故または所定の感染症）のときは、普通死亡保険金の4倍の災害死亡保険金が支払われます。・契約は保険料建で月2,000円から1,000円単位で契約できます。※","終身保険（無選択型）・50歳契約／男性／終身払込・●・死亡保険金額・1,257,000円・●・災害死亡保険金額・5,028,000円・○・保険料（月払口座）  ・6,000円",リビング・ニーズ特約
4,1573441211-9805,プルデンシャル生命 令和元年度版,終身介護保険,終身介護保険 令和元年度版,「終身介護保険」は、公的介護保険制度に連動し、要介護2以上と認定されれば介護年金が支払われる終身タイプの介護保険です。また、満65歳未満の場合でも会社所定の要介護状態になれば介護年金が支払われます。介護年金は支払事由に該当している限り終身にわたり支払われます。・第1回介護年金が支払われた場合は、第2回以後の介護年金の支払事由に該当しない場合でも、以後の保険料の払い込みが免除となります。,"終身介護保険・50歳契約／男性／保険料払込期間：終身・●・介護年金額・60万円・○・保険料（月払口座）  ・6,798円",疾病障害による保険料払込免除特約/指定代理請求特約
5,1573441462-9914,ネオファースト生命 令和元年度版,無解約返戻金型７大生活習慣病入院一時給付保険,カラダ革命 令和元年度版,「カラダ革命」は、７大生活習慣病（がん（上皮内がんを含む）、心・血管疾患、脳血管疾患、腎疾患、肝疾患、糖尿病、高血圧性疾患）の治療を目的として1日以上入院（日帰り入院を含む）した場合、入院一時給付金として100万円が支払われます。入院一時給付金は、１年に１回の受け取りを限度として、通算10回まで受け取れます。・契約時は実年齢に基づき保険料を設定しますが、更新時には、更新時（健康年齢判定日）の実年齢と健康診断結果等をもとに健康年齢を判定し、更新後の保険料を決定します。健康年齢には上限を設けており、健康年齢判定日の実年齢＋５歳が上限となります。更新時に健康診断結果等の提出がない場合は、健康年齢の上限である更新時の実年齢＋５歳が適用となります。・３年ごとに自動更新し、更新時の実年齢が70歳の場合は「終身」に移行し、保障が一生涯続きます。,"無解約返戻金型７大生活習慣病入院一時給付保険・30歳契約／男性／保険期間・保険料払込期間：3年・●・入院一時給付金100万円・○・保険料（月払口座）1,532円（加入時）円",
6,1573441641-9994,ソニー生命 令和元年度版,生前給付逓減定期保険（生活保障型／無配当）,生前給付逓減定期保険（生活保障型／無配当） 令和元年度版,「生前給付逓減定期保険（生活保障型）」は、三大疾病（がん・急性心筋梗塞・脳卒中）・死亡・高度障害の保障に、所定の特定障害状態および要介護状態の保障を加えた生前給付型の総合保障商品です。特定障害状態を身体障害者手帳に、要介護状態を公的介護保険制度に連動させることにより、わかりやすい内容となっています。保険金額は経過年数に応じて逓減します。逓減方法によりⅠ型とⅡ型があります。・ Ⅰ型は、契約時の保険金額の20％になるまで保険金額が逓減し、その後は20％のまま保険期間満了時まで推移します。・ Ⅱ型は保険期間の20％を経過後、保険金額が逓減します。最終保険年度の保険金額は、契約時の保険金額の30％となります。,"生前給付逓減定期保険（生活保障型）（Ⅰ型）・35歳契約／男性／保険期間：60歳払込満了／保険料払込期間：60歳まで・●・保険金額・1,000万円・○・保険料（月払口座）  ・3,320円",5年ごと利差配当付年金支払特約/リビング・ニーズ特約（04）
7,1573441811-10071,オリックス生命 令和元年度版,無配当 終身保険(低解約払戻金型),終身保険 RISE（ライズ） 令和元年度版,「終身保険 RISE（ライズ）」は、死亡・高度障害に対する保障が一生涯続くため、死後の整理資金準備や相続対策、資産形成などに適したトータルライフプランニングのベースとなる保険です。また、保険料払込期間中の解約払戻金を抑制することによって、低廉な保険料となっています。・また、特定疾病（がん、急性心筋梗塞、脳卒中）により所定の事由に該当した場合、以後の保険料の払込みは免除され、そのまま保障が継続する、特定疾病保険料払込免除特則適用プランもあります。,"無配当 終身保険(低解約払戻金型)・30歳契約・男性・保険期間：終身・60歳払済・低解約払戻期間：60歳・特定疾病保険料払込免除特則適用なし・●・保険金額・1,000万円・○・保険料（月払口座）  ・21,640円",災害割増特約/傷害特約/リビング・ニーズ特約/介護前払特約/年金支払特約
8,1573441813-10072,アフラック生命 令和元年度版,家族生活保障保険〔無解約払戻金型〕,家族に毎月届く生命保険ＧＩＦＴ 令和元年度版,「家族に毎月届く生命保険 ＧＩＦＴ」は、保険期間中に万一のことがあった場合に、あらかじめ決められた金額が生活資金として毎月支払われる生活保障・家族収入保険です。「月払年金」の支払保証期間として、2年（24か月）もしくは6年（72か月）から選択できます。,"家族生活保障保険〔無解約払戻金型〕・30歳契約／男性／60歳満期／保険料払込期間60歳／支払保証期間2年／標準保険料率・●・基準年金月額・20万円・●・三大疾病保険料払込免除特約 ・付加・○・保険料（月払）・7,300円",災害死亡割増特約/傷害特約/リビング・ニーズ特約/三大疾病保険料払込免除特約/ノンスモーカー割引特約
9,1573441692-10018,住友生命 令和元年度版,5年ごと利差配当付こども保険,スミセイのこどもすくすく保険 令和元年度版,「スミセイのこどもすくすく保険」は、被保険者が12・15歳のときに学資祝金、保険期間の満了時には満期祝金が支払われるこども保険です（18歳満期の場合）。・保険期間は18歳満期または22歳満期の2種類です。,"5年ごと利差配当付こども保険 貯蓄プラン・契約者30歳（男性）／被保険者0歳（男性）／18歳満期／12歳払込満了・●・主契約・基本保険金額100万円・●・指定代理請求特約・付加・○・保険料（月払口座）：・8,192円",こども総合医療特約/こども入院保障充実特約（09）/指定代理請求特約/年金支払特約
